Titel,Synonyms,Brand Names
"Folic Acid","Folate; PGA; Pteroyl-L-glutamic acid; Pteroyl-L-monoglutamic acid; Pteroylglutamic acid; Pteroylmonoglutamic acid; Vitamin B9; Vitamin Bc; Vitamin Be; Vitamin M","Acifolic; Apo-Folic; Cytofol; Dosfolat B activ; Folacid; Folacin; Folbal; Folcidin; Foldine; Folettes; Foliamin; Folicet; Folipac; Folsan; Folsaure; Folsav; Folvite; Folvron; Incafolic; Millafol"
"Icosapent","Eicosapentaenoic acid; EPA; Icosapentaenoic acid; Timnodonic acid",
"L-Alanine","(2S)-2-Aminopropanoic acid; (S)-(+)-Alanine; (S)-2-Aminopropanoic acid; (S)-Alanine; 2-Aminopropanoic acid; 2-Aminopropionic acid; a-Alanine; a-Aminopropionic acid; ALA; Alanine; L-(+)-Alanine; L-2-Aminopropanoic acid; L-2-Aminopropionic acid; L-a-Alanine; L-a-Aminopropionic acid",
"L-Valine","(2S)-2-Amino-3-methylbutanoic acid; (S)-2-Amino-3-methylbutanoic acid; (S)-2-Amino-3-methylbutyric acid; (S)-a-Amino-b-methylbutyric acid; (S)-Valine; 2-Amino-3-methylbutanoic acid; 2-Amino-3-methylbutyric acid; L-(+)-a-Aminoisovaleric acid; L-a-Amino-b-methylbutyric acid; Valine",
"Vitamin A","[11,12-3H]-Retinol; all-trans-retinol; All-trans-Retinyl alcohol; all-trans-Vitamin A; All-trans-Vitamin A alcohol; all-trans-Vitamin A1; beta-Retinol; Retin-11,12-t2-ol (9CI); Retinol; trans-Retinol; trans-Vitamin A alcohol; Vitamin A (Feed); Vitamin A alcohol; Vitamin A cryst; Vitamin A Palmitate; Vitamin A Solubilized; Vitamin A1; Vitamin A1 alcohol","A-Mulsal; A-Sol; A-Vi-Pel; A-Vitan; Acon; Afaxin; Agiolan; Agoncal; Alcovit A; alin; Alphalin; Alphasterol; Anatola; Anatola A; Anti-Infective vitamin; Antixerophthalmic vitamin; Aoral; Apexol; Apostavit; Aquasol A; Aquasol A Parenteral; Aquasynth; asterol; Atars; Atav; Avibon; Avita; Avitol; Axerol; Axerophthol; Bentavit A; Biosterol; Chocola A; Cylasphere; Del-VI-A; Disatabs Tabs; Dofsol; Dohyfral A; Epiteliol; Hi-A-Vita; Homagenets Aoral; Homagenets aorl; Lard Factor; M.V.C. 9+3; M.V.I. Pediatric; M.V.I.-12; Mvc Plus; Myvpack; Nio-A-Let; Oleovitamin A; Ophthalamin; Plivit A; Prepalin; Retrovitamin A; Ro-a-vit; Sehkraft A; Solu-A; Super A; Testavol; Testavol S; Thalasphere; tROL; Vaflol; Vafol; Veroftal; Vi-a; Vi-Alpha; Vi-Dom-A; Vio-A; Vitavel A; Vitpex; Vogan; Vogan-Neu; Vogan-nu; Zineb; Zineb 80; Zinosan N"
"Vitamin E","alpha-Tocopherol; Tocopherol","Amino-Opti-E; Aquasol E; Daltose; E-200 I.U. Softgels; E-Complex-600; E-Ferol; E-Vitamin succinate; Gordo-Vite E; Vitamin Plus E Softgells; Vitec"
"Pyridoxine","Adermin hydrochloride; Adermine hydrochloride; Aderomine hydrochloride; Hexabione hydrochloride; PN; Pyridoxin hydrochloride; Pyridoxine Chloride; Pyridoxine HCl; Pyridoxine hydrochloride; Pyridoxine hydrogen chloride; Pyridoxinium Chloride; Pyridoxinum Hydrochloricum; Pyridoxol hydrochloride; Vitamin B6","Aderoxine; Alestrol; Becilan; Beesix; Benadon; Bonasanit; Campoviton 6; Gravidox; Hexa-Betalin; Hexavibex; Hexermin; Hexermine; Hexobion; Hydoxin; Nestrex; Pydox; Pyridipca; Pyridox; Pyridoxine-HCl Microencapsulated; Rodex TD; Tex Six T.R.; Vitamin B6; Vitaped"
"Lipoic Acid","1,2-Dithiolane-3R-pentanoic acid; alpha-Lipoic acid; Lipoate; Thioctic acid","Biletan; Heparlipon; Thioctsan"
"L-Isoleucine","(2S,3S)-2-Amino-3-methylpentanoic acid; (2S,3S)-a-Amino-b-methyl-n-valeric acid; (2S,3S)-a-Amino-b-methylvaleric acid; (S,S)-Isoleucine; (S)-Isoleucine; 2-Amino-3-methylvaleric acid; 2S,3S-Isoleucine; erythro-L-Isoleucine; Isoleucine; L-(+)-Isoleucine; L-Ile",
"Aspartame","1-Methyl N-L-alpha-aspartyl-L-phenylalanate; 1-Methyl N-L-alpha-aspartyl-L-phenylalanine; 3-Amino-N-(alpha-carboxyphenethyl)succinamic acid N-methyl ester; 3-Amino-N-(alpha-carboxyphenethyl)succinamic acid N-methyl ester, stereoisomer; 3-Amino-N-(alpha-methoxycarbonylphenethyl) succinamic acid; APM; Asp-phe-ome; Aspartam [INN-French]; Aspartame [USAN:BAN:INN]; Aspartamo [INN-Spanish]; Aspartamum [INN-Latin]; Aspartylphenylalanine methyl ester; Dipeptide sweetener; L-Aspartyl-L-phenylalanine methyl ester; Methyl aspartylphenylalanate; Methyl L-alpha-aspartyl-L-phenylalanate; Methyl L-aspartyl-L-phenylalanine; Methyl N-L-alpha-aspartyl-L-phenylalaninate; N-L-alpha-Aspartyl-L-phenylalanine 1-methyl ester; Sweet dipeptide","Aminosweet; Canderel; Equal; Nutrasweet; Tri-sweet"
"Cholecalciferol","CC; Cholecalciferol, D3; Colecalciferol; Vitamin D3","Calciol; Delsterol; Delta-D; Deparal; Ebivit; Micro-Dee; Oleovitamin D3; Provitamin D3; Provitamine; Provitina; Ricketon; Trivitan; Vigantol; Vigorsan"
"Menadione","2-Methyl-1,4-Naphthalenedione; 2-Methyl-1,4-naphthoquinone; Kayquinone; Menaphthone; Thyloquinone; Vitamin K 3; Vitamin K3","Kappaxin; Kayklot; Klottone; Kolklot; Panosine; Synkavite; Synkayvite"
"Adenosine triphosphate","5'-ATP; Adenosine 5'-triphosphate; Adenosine 5'-triphosphoric acid; Adenosine-5'-triphosphate; Adenosine, 5'-(tetrahydrogen triphosphate); Adenylpyrophosphoric acid; ATP; Triphosphoric acid adenosine ester","Adephos; Adetol; Adynol; Atipi; Atriphos; Cardenosine; Fosfobion; Glucobasin; Myotriphos; Phosphobion; Striadyne; Triadenyl; Triphosphaden"
"L-Proline","(-)-2-Pyrrolidinecarboxylic acid; (-)-Proline; (S)-2-Carboxypyrrolidine; (S)-2-Pyrrolidinecarboxylic acid; (S)-Proline; 2-Pyrrolidinecarboxylic acid",
"Adenine","1H-Purin-6-amine; 6-Aminopurine; Adenin; Adeninimine; Vitamin B4","Leuco-4; Pedatisectine B"
"L-Asparagine","(-)-Asparagine; (S)-2,4-Diamino-4-oxobutanoic acid; (S)-Asparagine; 2-Aminosuccinamic acid; a-Aminosuccinamic acid; Asn; Asparagine; Asparagine acid; Asparamide; Aspartamic acid; Aspartic acid amide; Aspartic acid b-amide; L-2,4-Diamino-4-oxobutanoic acid; L-Aspartamine; L-b-Asparagine","Agedoite; Altheine; Crystal VI"
"Pravastatin","Pravastatin Sodium; Pravastatina [Spanish]; Pravastatine [French]; Pravastatinum [Latin]","Elisor; Lipostat; Mevalotin; Mevinolin; Oliprevin; Pravachol; Pravaselect; Selectin; Selipran; Vasten"
"Fluvoxamine","Fluvoxamina [INN-Spanish]; fluvoxamine; Fluvoxamine maleate; fluvoxamine-CR; Fluvoxaminum [INN-Latin]","Dumirox; Dumyrox; Faverin; Fevarin; Floxyfral; Luvox; Maveral"
"Valsartan","valsartan","Diovan; Valsarran"
"Ramipril","Ramiprilum [Latin]","Acovil; Altace; Carasel; Cardace; Delix; Hypren; Hytren; Lostapres; Pramace (discontinued); Quark; Ramace; Triatec; Tritace; Unipril; Vesdil"
"Masoprocol","Dihydronorguaiaretic acid; Masoprocolum [INN-Latin]; meso-NDGA; meso-Nordihydroguaiaretic acid; NDGA; Nordihydroguaiaretic acid; Nordihydroguairaretic acid","Actinex"
"Flunisolide","flunisolide; Flunisolide [anhydrous]","Aerobid; Bronalide; Lunis; Nasalide; Nasarel; Rhinalar; Synaclyn; Syntaris"
"Baclofen",,"Baclon; Kemstro; Lioresal; Lioresal Intrathecal; Nu-Baclofen; Pms-Baclofen"
"Amphetamine","(+/-)-Benzedrine; (+/-)-beta-Phenylisopropylamine; (+/-)-Desoxynorephedrine; [1-(3-Methoxyphenyl)-2-propyl]amine; 1-Methyl-2-phenylethylamine; 1-Phenyl-2-aminopropane; 3-Methoxy-a-methylbenzeneethanamine; 3-Methoxyamphetamine; 3-Methoxyphenylisopropylamine; alpha-Methylbenzeneethaneamine; Amfetamine; Amphetamine Sulfate; beta-Aminopropylbenzene; beta-phenyl-isopropylamine; dl-1-Phenyl-2-aminopropane; DL-alpha-Methylphenethylamine; dl-Amphetamine; dl-Benzedrine; Fenylo-izopropylaminyl; m-Methoxy-a-methylphenethylamine; m-Methoxyamphetamine; Methamphetamine HCL; Phenylisopropylamine","Actedron; Adipan; Allodene; Anorexide; Anorexine; Benzebar; Benzedrine; Benzolone; Desoxyn; Dexampex; Dexedrine; Dextrostat; Elastonon; Fenamin; Ferndex; Finam; Isoamycin; Isoamyne; Isomyn; Mecodrin; Methampex; Norephedrane; Novydrine; Oktedrin; Ortedrine; Paredrine; Percomon; Phenamine; Phenedrine; Profamina; Propisamine; Psychedrine; Raphetamine; Rhinalator; Simpatedrin; Simpatina; Sympamin; Sympamine; Sympatedrine; Weckamine"
"Pentagastrin",,"Peptavlon"
"Nicotine","L-Nicotine; Nicotine Alkaloid","Black Leaf; Black Leaf 40; Campbell's Nico-Soap; Commit; Destruxol Orchid Spray; Emo-Nik; Flux Maag; Fumetobac; Habitrol; Mach-Nic; Niagara P.A. Dust; Nic-Sal; Nico-Dust; Nico-Fume; Nicocide; Nicoderm; Nicoderm Cq; Nicorette; Nicorette Plus; Nicotin; Nicotina; Nicotine Polacrilex; Nicotrol; Nicotrol Inhaler; Nicotrol Ns; Nikotin; Nikotyna; Ortho N-4 Dust; Ortho N-5 Dust; Prostep; Tendust"
"Cevimeline","Cevimeline hydrochloride; Cevimeline hydrochloride hemihydrate; Cevimeline hydrochloride hydrate","Evoxac; Saligren"
"Lorazepam","(+/-)-Lorazepam; L-Lorazepam Acetate; O-Chlorooxazepam; O-Chloroxazepam","Almazine; Alzapam; Anxiedin; Aplacassee; Ativan; Bonatranquan; Delormetazepam; Emotival; Idalprem; Lorabenz; Lorax; Loraz; Lorazepam Intensol; Lorsilan; Pro Dorm; Psicopax; Punktyl; Quait; Securit; Sedatival; Sedazin; Somagerol; Tavor; Temesta; Wypax"
"Esmolol",,"Brevibloc; Esmolol HCL; Esmolol Hydrochloride"
"Bortezomib","bortezomib","Velcade"
"Ethchlorvynol","Aethyl-chlorvynol; Etchlorvinolo; Ethchlorovynol; Ethchlorvinol; Ethchlorvinyl; Ethclorvynol; Ethochlorvynol; Ethychlorvynol","Alvinol; Arvynol; Normonson; Normosan; Normoson; Nostel; Nromoson; Placidil; Placidyl; Roeridorm; Serenesil; Serenil; Serensil; Serensiloline"
"Carbidopa","Alpha-Methyldopahydrazine; C-DOPA; Carbidopa Anhydrous; Carbidopa Monohydrate; Carbidopum [INN-Latin]; MK-486; N-Aminomethyldopa","Atamet; HMD; Lodosin; Lodosyn"
"Phentermine","(alpha,alpha)-Dimethylphenethylamine; Phentermine Hcl; Phentermine Hydrochloride","Adipex-P; Duromine; Fastin; Inoamin; Ionamin; Linyl; Lipopill; Lonamin; Mirapront; Normephentermine; Obenix; Obestin-30; Oby-Trim; Omnibex; Ona Mast; Ona-Mast; Phentercot; Phentermine Resin 30; Phentride; Pre-Sate; Pro-Fast; Teramine; Tora; Uritone; Wilpo; Wyamine Sulfate; Zantryl"
"Indecainide","9-(3-(Isopropylamino)propyl)-9-fluorenylcarboxamid; 9-(3-(Isopropylamino)propyl))fluorene-9-carboxamide; Indecainida [Spanish]; Indecainidum [Latin]; Ricainid; Ricainide","Decabid"
"Tramadol","tramadol; Tramadol HCl; Tramadol hydrochloride; Tramadolum [INN-Latin]; Tramodol Hcl","Crispin; Ralivia ER; Ralivia Flashtab; Tramadol HCl BP/EP; Tramal; Tridural; Ultram; Ultram ER; Zydol"
"Vidarabine","9-beta-D-arabinofuranosyl-adenine; Adenine Arabinoside; Ara Atp; Ara-A; Ara-a Triphosphate; Ara-Atp; Araadenosine; Arabinofuranosyladenine Triphosphate; Arabinoside Adenine; Arabinosyl Adenine; Arabinosyl-Atp; Arabinosyladenine; Arabinosyladenine Triphosphate; Vidarabine Triphosphate","Arasena-A; Spongoadenosine; Vidarabin; Vira-A"
"Betaxolol","Betaxolol HCL; Betaxololum [INN-Latin]; Betazolol","Betaxon; Betoptic; Betoptic S; Kerlone"
"Fluconazole",,"Biocanol; Biozolene; Diflucan; Elazor; Flucazol; Flucostat; Flukezol; Flunizol; Flusol; Pritenzol; Triflucan"
"Oseltamivir","Oseltamivir phosphate","Tamiflu"
